Classifier Pair,Accuracy,Precision,Recall,AUC,F1
"('-1', '0-30')",0.9731357552581262,0.9778914180252231,0.9895723901793705,0.9441610850350981,0.9836972287222728
"('-1', '31-60')",0.9617319325055714,0.963353356756961,0.9909836384128095,0.9100894596360578,0.9769731800766284
"('-1', '61-90')",0.9242058705267391,0.9107268053283477,0.9128601546029516,0.9227973954912979,0.9117922321010762
"('-1', '91-120')",0.9963157894736843,0.0,0.0,0.5,0.0
"('0-30', '31-60')",0.5499494478145901,0.5487731219328048,0.5649605534180561,0.5499406868098022,0.5567492005132035
"('0-30', '61-90')",0.8575575575575576,0.0,0.0,0.5,0.0
"('0-30', '91-120')",0.9991835782598554,0.0,0.0,0.5,0.0
"('31-60', '61-90')",0.8577,0.0,0.0,0.5,0.0
"('31-60', '91-120')",0.9991845293569431,0.0,0.0,0.5,0.0
"('61-90', '91-120')",0.9951048951048951,0.0,0.0,0.5,0.0
